# p ,r
4.503420445139781755e-04 7.220144402888058373e-03
4.528163769120117834e-04 7.240144802896058239e-03
4.552973554461371111e-04 7.260145202904058105e-03
4.577849790374446818e-04 7.280145602912058839e-03
4.602792466066584496e-04 7.300146002920058705e-03
4.627801570749911272e-04 7.320146402928058571e-03
4.652877093635332376e-04 7.340146802936059305e-03
4.678019023933753040e-04 7.360147202944059171e-03
4.703227350862189599e-04 7.380147602952059037e-03
4.728502063637657848e-04 7.400148002960059770e-03
4.753843151477174121e-04 7.420148402968059637e-03
4.779250603596532317e-04 7.440148802976059503e-03
4.804724409217636899e-04 7.460149202984060236e-03
4.830264557561170431e-04 7.480149602992060102e-03
4.855871037845371145e-04 7.500150003000059969e-03
4.881543839301920838e-04 7.520150403008060702e-03
4.907282951151501534e-04 7.540150803016060568e-03
4.933088362618462570e-04 7.560151203024060435e-03
4.958960062934486285e-04 7.580151603032061168e-03
4.984898041325142286e-04 7.600152003040061034e-03
5.010902287018447225e-04 7.620152403048060900e-03
5.036972789253415898e-04 7.640152803056061634e-03
5.063109537255618998e-04 7.660153203064061500e-03
5.089312520264070239e-04 7.680153603072061366e-03
5.115581727511673855e-04 7.700154003080062100e-03
5.141917148235001936e-04 7.720154403088061966e-03
5.168318771670623321e-04 7.740154803096062699e-03
5.194786587062441476e-04 7.760155203104062566e-03
5.221320583645804427e-04 7.780155603112062432e-03
5.247920750667059431e-04 7.800156003120063165e-03
5.274587077365222370e-04 7.820156403128062164e-03
5.301319552987862399e-04 7.840156803136063765e-03
5.328118166778882982e-04 7.860157203144063631e-03
5.354982907983408397e-04 7.880157603152063497e-03
5.381913765853897549e-04 7.900158003160063364e-03
5.408910729640365551e-04 7.920158403168063230e-03
5.435973788590379389e-04 7.940158803176063096e-03
5.463102931956400135e-04 7.960159203184064697e-03
5.490298148994551299e-04 7.980159603192064563e-03
5.517559428954845824e-04 8.000160003200064429e-03
5.544886761099521036e-04 8.020160403208064295e-03
5.572280134682255567e-04 8.040160803216064161e-03
5.599739538961619970e-04 8.060161203224064028e-03
5.627264963199848317e-04 8.080161603232065629e-03
5.654856396656733055e-04 8.100162003240065495e-03
5.682513828593286362e-04 8.120162403248065361e-03
5.710237248276633145e-04 8.140162803256065227e-03
5.738026644970229372e-04 8.160163203264065093e-03
5.765882007941201034e-04 8.180163603272064959e-03
5.793803326456670871e-04 8.200164003280066560e-03
5.821790589784984603e-04 8.220164403288066426e-03
5.849843787196933910e-04 8.240164803296066293e-03
5.877962907964531282e-04 8.260165203304066159e-03
5.906147941362233002e-04 8.280165603312066025e-03
5.934398876662051563e-04 8.300166003320067626e-03
5.962715703142110017e-04 8.320166403328067492e-03
5.991098410074421942e-04 8.340166803336067358e-03
6.019546986739554182e-04 8.360167203344067224e-03
6.048061422420519546e-04 8.380167603352067091e-03
6.076641706394217022e-04 8.400168003360066957e-03
6.105287827942438607e-04 8.420168403368068558e-03
6.133999776350639813e-04 8.440168803376068424e-03
6.162777540900609384e-04 8.460169203384068290e-03
6.191621110881471773e-04 8.480169603392068156e-03
6.220530475576236534e-04 8.500170003400068022e-03
6.249505624277694894e-04 8.520170403408067888e-03
6.278546546273746157e-04 8.540170803416069489e-03
6.307653230854734505e-04 8.560171203424069356e-03
6.336825667314673061e-04 8.580171603432069222e-03
6.366063844946348712e-04 8.600172003440069088e-03
6.395367753042551602e-04 8.620172403448068954e-03
6.424737380902182434e-04 8.640172803456068820e-03
6.454172717824138662e-04 8.660173203464070421e-03
6.483673753102433407e-04 8.680173603472070287e-03
6.513240476042075769e-04 8.700174003480070153e-03
6.542872875943188350e-04 8.720174403488070020e-03
6.572570942102226978e-04 8.740174803496069886e-03
6.602334663832756193e-04 8.760175203504069752e-03
6.632164030436121576e-04 8.780175603512071353e-03
6.662059031217332228e-04 8.800176003520071219e-03
6.692019655486286999e-04 8.820176403528071085e-03
6.722045892551663931e-04 8.840176803536070951e-03
6.752137731719695104e-04 8.860177203544070818e-03
6.782295162307611829e-04 8.880177603552070684e-03
6.812518173628980813e-04 8.900178003560072285e-03
6.842806754994922806e-04 8.920178403568072151e-03
6.873160895721448305e-04 8.940178803576072017e-03
6.903580585125787539e-04 8.960179203584071883e-03
6.934065812525172902e-04 8.980179603592071749e-03
6.964616567240503563e-04 9.000180003600071615e-03
6.995232838592677603e-04 9.020180403608073216e-03
7.025914615903815002e-04 9.040180803616073082e-03
7.056661888496036823e-04 9.060181203624072949e-03
7.087474645693907921e-04 9.080181603632072815e-03
7.118352876824438026e-04 9.100182003640072681e-03
7.149296571212189824e-04 9.120182403648072547e-03
7.180305718190284694e-04 9.140182803656074148e-03
7.211380307084509387e-04 9.160183203664074014e-03
7.242520327229206092e-04 9.180183603672073880e-03
7.273725767953828332e-04 9.200184003680073747e-03
7.304996618591494233e-04 9.220184403688073613e-03
7.336332868478991943e-04 9.240184803696075214e-03
7.367734506953107446e-04 9.260185203704075080e-03
7.399201523349403743e-04 9.280185603712074946e-03
7.430733907009556567e-04 9.300186003720074812e-03
7.462331647270351899e-04 9.320186403728074678e-03
7.493994733475909265e-04 9.340186803736074544e-03
7.525723154964236543e-04 9.360187203744076145e-03
7.557516901085562736e-04 9.380187603752076012e-03
7.589375961180342767e-04 9.400188003760075878e-03
7.621300324597582660e-04 9.420188403768075744e-03
7.653289980686290607e-04 9.440188803776075610e-03
7.685344918790586134e-04 9.460189203784075476e-03
